batch_size,prompt_len,mem_allocated_gb,kv_cache_overhead_gb,status
1,2048,16.36255488,0.26846873600000265,ok
2,2048,16.630990336,0.5369041920000015,ok
4,2048,17.167861248,1.0737751040000028,ok
8,2048,18.241603072,2.1475169280000017,ok
16,2048,,,OOM
